Gene,Entrez ID,Image Series URL,Used in analysis?,ID
Atp11b,76295,Atp11b/70744324.html,1,70744324
Atp1a1,11928,Atp1a1/71836844.html,1,71836844
Atp1a3,232975,Atp1a3/74881263.html,1,74881263
Atp1a4,27222,Atp1a4/74881548.html,1,74881548
Atp2a2,11938,Atp2a2/74881549.html,1,74881549
Atp2b1,67972,Atp2b1/77280449.html,1,77280449
Atp5a1,11946,Atp5a1/1579.html,1,1579
Atp5j,11957,Atp5j/124.html,1,124
Atp5o,28080,Atp5o/1158.html,1,1158
Atp5s,68055,Atp5s/323589.html,1,323589
Atp6v0a1,11975,Atp6v0a1/126.html,1,126
Atp6v0a2,21871,Atp6v0a2/357094.html,1,357094
Atp6v0b,114143,Atp6v0b/293682.html,1,293682
Atp6v0c,11984,Atp6v0c/74881559.html,1,74881559
Atp6v1a,11964,Atp6v1a/74641315.html,1,74641315
Atp6v1b2,11966,Atp6v1b2/129.html,1,129
Atp6v1d,73834,Atp6v1d/74047915.html,1,74047915
Atp6v1e1,11973,Atp6v1e1/655501.html,1,655501
Atp8a1,11980,Atp8a1/74881560.html,1,74881560
Atp8a2,50769,Atp8a2/73925723.html,1,73925723
Atpbd3,233189,Atpbd3/70927830.html,1,70927830
Atpif1,11983,Atpif1/75774682.html,1,75774682
Atxn1,20238,Atxn1/932.html,1,932
Atxn10,54138,Atxn10/544899.html,1,544899
AU040377,268780,AU040377/74047441.html,1,74047441
AV344025,0,AV344025/73635975.html,1,73635975
Avp,11998,Avp/131.html,1,131
Avpr1b,26361,Avpr1b/79488955.html,1,79488955
AW046396,23792,AW046396/72340236.html,1,72340236
AW125753,105005,AW125753/70927811.html,1,70927811
AW146242,232023,AW146242/70928373.html,1,70928373
AW456874,218232,AW456874/72472738.html,1,72472738
Axin2,12006,Axin2/74819487.html,1,74819487
Azin1,54375,Azin1/74047917.html,1,74047917
B130008G09Rik*,0,B130008G09Rik*/75042241.html,1,75042241
B230120H23Rik,65964,B230120H23Rik/2049.html,1,2049
B230209C24Rik,320705,B230209C24Rik/77280313.html,1,77280313
B230215L15Rik,320478,B230215L15Rik/74658020.html,1,74658020
B230308C24Rik*,0,B230308C24Rik*/75042242.html,1,75042242
B230312C02Rik,320485,B230312C02Rik/74363336.html,1,74363336
B230317C12Rik,56279,B230317C12Rik/73635786.html,1,73635786
B230362M20Rik,14407,B230362M20Rik/77340460.html,1,77340460
B230399E16Rik,240479,B230399E16Rik/73636086.html,1,73636086
B2m,12010,B2m/71924291.html,1,71924291
B3bp,333789,B3bp/74363354.html,1,74363354
B3galt2,26878,B3galt2/71064081.html,1,71064081
B3gat1,76898,B3gat1/73818755.html,1,73818755
B3gat2,280645,B3gat2/74658033.html,1,74658033
B3gnt2,53625,B3gnt2/75988600.html,1,75988600
B430110C06Rik*,0,B430110C06Rik*/75043140.html,1,75043140
B430201A12Rik,329739,B430201A12Rik/73520819.html,1,73520819
B4galnt3,330406,B4galnt3/73636090.html,1,73636090
B4galt1,14595,B4galt1/71063735.html,1,71063735
B4galt3,57370,B4galt3/357099.html,1,357099
B4galt5,56336,B4galt5/73635976.html,1,73635976
B4galt6,56386,B4galt6/2055.html,1,2055
B630019K06Rik,102941,B630019K06Rik/74881160.html,1,74881160
B830028H17Rik*,0,B830028H17Rik*/75042245.html,1,75042245
B830045N13Rik,215378,B830045N13Rik/70927812.html,1,70927812
B930010G24Rik*,0,B930010G24Rik*/75042246.html,1,75042246
B930011P16Rik,403186,B930011P16Rik/73520981.html,1,73520981
Bace1,23821,Bace1/73520965.html,1,73520965
Bace2,56175,Bace2/143.html,1,143
Bad,12015,Bad/74881790.html,1,74881790
Bag1,12017,Bag1/75043147.html,1,75043147
Bai3,210933,Bai3/71247597.html,1,71247597
Baiap2,108100,Baiap2/73520966.html,1,73520966
Baiap3,545192,Baiap3/75081206.html,1,75081206
Banp,53325,Banp/67755432.html,1,67755432
Bap1,104416,Bap1/74881827.html,1,74881827
Baz1a,217578,Baz1a/73635977.html,1,73635977
BB146404,103511,BB146404/70928307.html,1,70928307
BC003498,234353,BC003498/73636030.html,1,73636030
BC004044,80752,BC004044/654929.html,1,654929
BC005537,79555,BC005537/321201.html,1,321201
BC005561,243171,BC005561/74988761.html,1,74988761
BC005764,216152,BC005764/73925724.html,1,73925724
BC011467,0,BC011467/73512500.html,1,73512500
BC018242,235044,BC018242/71836832.html,1,71836832
BC023818,387314,BC023818/73636154.html,1,73636154
BC025816,234796,BC025816/2061.html,1,2061
BC027127,211739,BC027127/71836843.html,1,71836843
BC028663,234365,BC028663/74750064.html,1,74750064
BC029169,208659,BC029169/70744517.html,1,70744517
BC030477,216881,BC030477/71920517.html,1,71920517
BC031181,407819,BC031181/73718052.html,1,73718052
BC031353,235493,BC031353/77371767.html,1,77371767
BC032203,210982,BC032203/77867708.html,1,77867708
BC032265,238024,BC032265/74819239.html,1,74819239
BC033915,70661,BC033915/74881867.html,1,74881867
BC034076,665700,BC034076/71836848.html,1,71836848
BC035295,207785,BC035295/74047914.html,1,74047914
BC052328,223433,BC052328/74819326.html,1,74819326
BC053994,241694,BC053994/77340462.html,1,77340462
BC054438,407831,BC054438/73769320.html,1,73769320
BC056349,269152,BC056349/71717582.html,1,71717582
BC057022,433940,BC057022/72077480.html,1,72077480
BC059842,230676,BC059842/1446.html,1,1446
BC060632,244654,BC060632/77332715.html,1,77332715
BC062109,231503,BC062109/77340478.html,1,77340478
BC094274,227717,BC094274/75041585.html,1,75041585
Bcan,12032,Bcan/154.html,1,154
Bcap29,12033,Bcap29/104826.html,1,104826
Bcar3,29815,Bcar3/77371769.html,1,77371769
Bcat1,12035,Bcat1/71016665.html,1,71016665
Bckdhb,12040,Bckdhb/71836890.html,1,71836890
Bcl11a,14025,Bcl11a/71836837.html,1,71836837
Bcl2l12,75736,Bcl2l12/71064289.html,1,71064289
Bcl6,12053,Bcl6/75651139.html,1,75651139
Bcl7b,12054,Bcl7b/1601.html,1,1601
Bdh2,69772,Bdh2/70806049.html,1,70806049
